ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ocupación;Ingresos;¿Cuántas personas viven en su casa, incluido usted?;Café instantáneo;Margarina;Café molido;Carnes frías;Chocolate en pastilla;Calzado Deportivo;Jugos;Aguaembotellada;Gaseosas;Bebidasachocolatadasinstantánea;Ron;Cervezas;Cigarrillos;Aguardiente;Whisky;Vodka;Jabones para el cuerpo;Cremas faciales;Cremas corporales;Jabones faciales;Champú;Cremas de afeitar;Pañales para adultos;Pañales para niños;Tampones;Protectores diarios;Toallas higiénicas;Protector solar;Ropa Casual;Desodorantes;Preservativos;Vehículos;Ropa Deportiva;Calzado Casual;Reproductores de Audio Portátiles (mp3/mp4);Equipos Celulares;Computadores;Siento que la publicidad ha invadido todos mis espacios;Utilizo frases de comerciales para expresarme ;Cuando hay una campaña publicitaria que me llama la atención suelo comentarlo con mis amigos;Creo que la publicidad produce una exageración en el consumo de productos;Creo que la publicidad impone modas;Hay publicidad que me ha cambiado la forma de pensar respecto a situaciones de la vida;Creo que la publicidad impone modelos de belleza ;Creo que cualquier persona puede hacer publicidad ;Suelo cantar las canciones de los comerciales;Confío en lo que las empresas prometen a través de la publicidad.;Si aparece una persona famosa en un comercial, me da más confianza el producto.;Me parece que la publicidad exagera todo.;Cuando me gusta un comercial, me intereso más por el producto que ofrece;Sólo compro productos de marcas que hacen publicidad;La publicidad colombiana no invita a comprar
1;Ciudad 2;1;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;6.   Estudia y trabaja;Menos de  $ 500.000;5;nr;la buena;sello rojo;nr;la especial;venus;;;7up;;;;;;;;rexona;otras;nivea;nr;nr;gillette;nr;nr;nr;nr;nr;avon;nr;nr;nr;nr;nr;nr;nr;samsung;nr;2;2;2;4;4;3;4;4;2;2;3;4;1;2;3
2;Ciudad 2;1;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;1.   Trabaja dependientemente (empleado);Menos de  $ 500.000;5;sello rojo;nr;nr;nr;corona;nr;;;cocacola;chocolisto;;;;;;;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;today;nr;nr;nr;nr;nr;nr;5;1;1;5;4;4;5;5;4;1;1;5;4;4;1
3;Ciudad 2;1;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;4;nr;la fina;sello rojo;nr;corona;nr;;;bigcola;;;aguila;;;;;nr;nr;nr;nr;alert;nr;nr;nr;nr;nr;nr;nr;nr;avon;today;nr;nr;nr;nr;nokia;nr;4;2;2;4;2;2;4;4;2;2;2;4;2;2;2
4;Ciudad 2;1;25 - 34;Masculino;Soltero(a);Primaria;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;6;nr;nr;nr;nr;sol;nr;;;ponymalta;;;poker;;;;;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;rexona;nr;nr;nr;nr;nr;samsung;nr;2;3;1;4;3;3;5;2;1;2;5;5;2;5;3
5;Ciudad 2;1;25 - 34;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;1.   Trabaja dependientemente (empleado);$ 501.000 -- $ 1´000.000;8;nescafe;la fina;sello rojo;nr;corona;nr;;;;;;;;;;;protex;nr;nr;protex;sedal;nr;nr;nr;nr;nr;nosotras;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;2;1;3;3;2;2;4;4;2;2;2;2;4;2;3
6;Ciudad 2;1;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;2.   Trabaja independientemente (informal);Menos de  $ 500.000;4;sello rojo;la fina;nr;zenu;sol;venus;tampico;cristal;postobon;;;poker;mustang;nectar;;;lux;nr;nivea;nr;h&s;nr;nr;huggies;nr;nr;nr;nr;nr;ego;piel;nr;nr;nr;nr;nokia;nr;3;3;4;4;4;3;4;2;3;3;3;3;2;3;2
7;Ciudad 2;1;35 - 44;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;4;1.   Trabaja dependientemente (empleado);Menos de  $ 500.000;3;colcafe;colanta;sello rojo;zenu;corona;reebok;hit;manantial;postobon;chocolisto;;;;dobleanis;;;cualquiera;lubriderm;nr;palmolive;sedal;nr;nr;nr;nr;nosotras;nosotras;nr;nr;lady speed stick;nr;nr;nr;bucaramanga;nr;sony ericsson;nr;3;4;4;4;2;3;4;4;4;3;3;3;4;3;3
8;Ciudad 2;1;45 - 54;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;6;3.   Empresario o Contratista;$ 501.000 -- $ 1´000.000;7;nr;rama;sello rojo;rica;corona;nr;tampico;;cocacola;chocolisto;;poker;;nectar;;;lux;nr;nr;palmolive;h&s;nr;nr;nr;nr;nr;nr;nr;nr;speed stick;nr;nr;nr;nr;nr;sony ericsson;nr;4;2;4;5;4;4;4;5;2;4;4;5;4;4;4
9;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;7;juan valdez;la fina;juan valdez;nr;corona;adidas;naturales;cristal;cocacola;chocolisto;;aguila;;;;;protex;nr;nr;nr;nr;nr;nr;huggies;ob;nosotras;kotex;nr;totto;dove;today;nr;adidas;nr;nr;nokia;lg;1;2;5;4;2;4;4;5;5;3;3;3;5;5;3
10;Ciudad 2;2;13 - 16;Masculino;Unión Libre;Primaria;1.   Católico;Sin Hijos;0;9.   Se dedica al hogar;No poseo ingresos propios;6;sello rojo;nr;nr;nr;sol;converse;hit;;pepsi;;viejodecaldas;poker;mustanglight;;;;nr;nr;nr;nr;ego;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;sony ericsson;nr;4;2;4;4;2;4;4;4;4;2;4;1;2;4;2
11;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;5;nr;nr;nr;nr;corona;nr;;;;;;;;;;;protex;nr;nr;otras;baby soft;nr;nr;nr;nr;nr;nosotras;nr;nr;rexona;nr;nr;nr;nr;nr;nr;nr;2;3;4;4;2;4;5;3;4;3;3;1;2;2;3
12;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;8;colcafe;la fina;sello rojo;nr;diana;nr;tampico;cristal;cocacola;;;;;;;;lux;esika;esika;nr;sedal;nr;nr;nr;nr;nosotras;nosotras;esika;nr;lady speed stick;nr;nr;nr;nr;nr;nokia;compaq;3;2;5;3;3;5;1;1;3;5;2;4;5;5;1
13;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;4;sello rojo;nr;nr;zenu;corona;venus;cifrut;;postobon;;;aguila;;;;;protex;nr;cicatricure;nr;sedal;nr;nr;nr;nr;nr;nosotras;nr;nr;ego;nr;nr;totto;brahma;nr;sony ericsson;dell;5;1;5;4;2;4;4;4;5;5;2;5;2;4;2
14;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;6.   Estudia y trabaja;Menos de  $ 500.000;4;sello rojo;la fina;aguila roja;nr;sol;adidas;delvalle;brisa;cocacola;alpin;viejodecaldas;clubcolombia;;;;;rexona;nr;nr;nr;h&s;nr;nr;nr;nr;nr;nr;nr;levis;lady speed stick;today;nr;nr;zara;titan;motorola;nr;5;2;2;5;5;2;4;4;1;2;4;4;2;4;2
15;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;5.    Estudia;No poseo ingresos propios;9;nr;nr;aguila roja;zenu;corona;venus;;;cocacola;chocolisto;;;;;;;lux;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;nr;2;3;2;4;4;3;3;3;2;2;2;4;2;2;3
